# mH (GeV) 	H → bb 	H → ττ 	H → μμ 	H → ss 	H → cc 	H → tt   H → gg 	H → γγ 	H → Zγ 	H → WW 	H → ZZ 	Total ΓH (GeV)
# Computed with HDECAY 6.51, with electroweak corrections turned off and ss, bb, gg and μμ branching fractions set to zero by hand, using the
# files hdecay.f.heavySM and hdecay.in.heavySM.
#
# PS 2016-09-27
#
 2650.00      0.000     0.6062E-06  0.000      0.000     0.1647E-06 0.1188E-01        0.000     0.8914E-06 0.5704E-06 0.6593     0.3288      9058.
 2700.00      0.000     0.5841E-06  0.000      0.000     0.1583E-06 0.1143E-01        0.000     0.8929E-06 0.5760E-06 0.6596     0.3290      9578.
 2750.00      0.000     0.5632E-06  0.000      0.000     0.1523E-06 0.1099E-01        0.000     0.8943E-06 0.5815E-06 0.6599     0.3291     0.1012E+05
 2800.00      0.000     0.5433E-06  0.000      0.000     0.1466E-06 0.1059E-01        0.000     0.8956E-06 0.5868E-06 0.6601     0.3293     0.1068E+05
 2850.00      0.000     0.5245E-06  0.000      0.000     0.1412E-06 0.1020E-01        0.000     0.8969E-06 0.5920E-06 0.6604     0.3294     0.1126E+05
 2900.00      0.000     0.5067E-06  0.000      0.000     0.1360E-06 0.9835E-02        0.000     0.8980E-06 0.5970E-06 0.6606     0.3295     0.1186E+05
 2950.00      0.000     0.4898E-06  0.000      0.000     0.1312E-06 0.9488E-02        0.000     0.8990E-06 0.6020E-06 0.6608     0.3297     0.1248E+05
 3000.00      0.000     0.4736E-06  0.000      0.000     0.1266E-06 0.9159E-02        0.000     0.9000E-06 0.6068E-06 0.6610     0.3298     0.1312E+05
 3050.00      0.000     0.4583E-06  0.000      0.000     0.1222E-06 0.8846E-02        0.000     0.9009E-06 0.6114E-06 0.6612     0.3299     0.1379E+05
 3100.00      0.000     0.4437E-06  0.000      0.000     0.1181E-06 0.8549E-02        0.000     0.9018E-06 0.6160E-06 0.6614     0.3300     0.1448E+05
 3150.00      0.000     0.4298E-06  0.000      0.000     0.1141E-06 0.8266E-02        0.000     0.9026E-06 0.6204E-06 0.6616     0.3301     0.1519E+05
 3200.00      0.000     0.4165E-06  0.000      0.000     0.1104E-06 0.7996E-02        0.000     0.9033E-06 0.6247E-06 0.6618     0.3302     0.1592E+05
 3250.00      0.000     0.4039E-06  0.000      0.000     0.1068E-06 0.7740E-02        0.000     0.9040E-06 0.6288E-06 0.6620     0.3303     0.1667E+05
 3300.00      0.000     0.3918E-06  0.000      0.000     0.1034E-06 0.7495E-02        0.000     0.9047E-06 0.6329E-06 0.6621     0.3304     0.1745E+05
 3350.00      0.000     0.3802E-06  0.000      0.000     0.1001E-06 0.7261E-02        0.000     0.9053E-06 0.6369E-06 0.6623     0.3305     0.1826E+05
 3400.00      0.000     0.3691E-06  0.000      0.000     0.9704E-07 0.7038E-02        0.000     0.9059E-06 0.6407E-06 0.6624     0.3306     0.1908E+05
 3450.00      0.000     0.3586E-06  0.000      0.000     0.9408E-07 0.6825E-02        0.000     0.9064E-06 0.6444E-06 0.6625     0.3306     0.1994E+05
 3500.00      0.000     0.3484E-06  0.000      0.000     0.9125E-07 0.6621E-02        0.000     0.9069E-06 0.6481E-06 0.6627     0.3307     0.2081E+05
 3550.00      0.000     0.3387E-06  0.000      0.000     0.8854E-07 0.6426E-02        0.000     0.9074E-06 0.6516E-06 0.6628     0.3308     0.2172E+05
 3600.00      0.000     0.3294E-06  0.000      0.000     0.8595E-07 0.6239E-02        0.000     0.9078E-06 0.6551E-06 0.6629     0.3309     0.2265E+05
 3650.00      0.000     0.3205E-06  0.000      0.000     0.8347E-07 0.6060E-02        0.000     0.9083E-06 0.6584E-06 0.6630     0.3309     0.2360E+05
 3700.00      0.000     0.3119E-06  0.000      0.000     0.8109E-07 0.5888E-02        0.000     0.9087E-06 0.6617E-06 0.6631     0.3310     0.2458E+05
 3750.00      0.000     0.3036E-06  0.000      0.000     0.7881E-07 0.5724E-02        0.000     0.9090E-06 0.6649E-06 0.6632     0.3310     0.2559E+05
 3800.00      0.000     0.2957E-06  0.000      0.000     0.7662E-07 0.5566E-02        0.000     0.9094E-06 0.6680E-06 0.6633     0.3311     0.2662E+05
 3850.00      0.000     0.2881E-06  0.000      0.000     0.7453E-07 0.5415E-02        0.000     0.9097E-06 0.6710E-06 0.6634     0.3312     0.2769E+05
 3900.00      0.000     0.2808E-06  0.000      0.000     0.7251E-07 0.5269E-02        0.000     0.9100E-06 0.6739E-06 0.6635     0.3312     0.2878E+05
 3950.00      0.000     0.2738E-06  0.000      0.000     0.7058E-07 0.5129E-02        0.000     0.9103E-06 0.6768E-06 0.6636     0.3313     0.2990E+05
 4000.00      0.000     0.2670E-06  0.000      0.000     0.6871E-07 0.4995E-02        0.000     0.9106E-06 0.6796E-06 0.6637     0.3313     0.3105E+05
 4050.00      0.000     0.2604E-06  0.000      0.000     0.6693E-07 0.4865E-02        0.000     0.9108E-06 0.6823E-06 0.6638     0.3314     0.3222E+05
 4100.00      0.000     0.2541E-06  0.000      0.000     0.6520E-07 0.4741E-02        0.000     0.9111E-06 0.6849E-06 0.6639     0.3314     0.3343E+05
 4150.00      0.000     0.2481E-06  0.000      0.000     0.6355E-07 0.4621E-02        0.000     0.9113E-06 0.6875E-06 0.6639     0.3314     0.3466E+05
 4200.00      0.000     0.2422E-06  0.000      0.000     0.6195E-07 0.4505E-02        0.000     0.9115E-06 0.6900E-06 0.6640     0.3315     0.3593E+05
 4250.00      0.000     0.2366E-06  0.000      0.000     0.6041E-07 0.4394E-02        0.000     0.9117E-06 0.6925E-06 0.6641     0.3315     0.3723E+05
 4300.00      0.000     0.2311E-06  0.000      0.000     0.5893E-07 0.4287E-02        0.000     0.9119E-06 0.6949E-06 0.6642     0.3316     0.3855E+05
 4350.00      0.000     0.2258E-06  0.000      0.000     0.5750E-07 0.4183E-02        0.000     0.9121E-06 0.6972E-06 0.6642     0.3316     0.3991E+05
 4400.00      0.000     0.2207E-06  0.000      0.000     0.5612E-07 0.4083E-02        0.000     0.9123E-06 0.6995E-06 0.6643     0.3316     0.4130E+05
 4450.00      0.000     0.2158E-06  0.000      0.000     0.5479E-07 0.3987E-02        0.000     0.9125E-06 0.7017E-06 0.6643     0.3317     0.4273E+05
 4500.00      0.000     0.2111E-06  0.000      0.000     0.5351E-07 0.3894E-02        0.000     0.9126E-06 0.7039E-06 0.6644     0.3317     0.4418E+05
 4550.00      0.000     0.2064E-06  0.000      0.000     0.5227E-07 0.3804E-02        0.000     0.9128E-06 0.7060E-06 0.6645     0.3317     0.4567E+05
 4600.00      0.000     0.2020E-06  0.000      0.000     0.5107E-07 0.3717E-02        0.000     0.9129E-06 0.7081E-06 0.6645     0.3318     0.4719E+05
 4650.00      0.000     0.1977E-06  0.000      0.000     0.4991E-07 0.3633E-02        0.000     0.9130E-06 0.7101E-06 0.6646     0.3318     0.4874E+05
 4700.00      0.000     0.1935E-06  0.000      0.000     0.4879E-07 0.3552E-02        0.000     0.9132E-06 0.7121E-06 0.6646     0.3318     0.5033E+05
 4750.00      0.000     0.1895E-06  0.000      0.000     0.4771E-07 0.3473E-02        0.000     0.9133E-06 0.7140E-06 0.6647     0.3319     0.5195E+05
 4800.00      0.000     0.1855E-06  0.000      0.000     0.4666E-07 0.3397E-02        0.000     0.9134E-06 0.7159E-06 0.6647     0.3319     0.5361E+05
 4850.00      0.000     0.1817E-06  0.000      0.000     0.4564E-07 0.3323E-02        0.000     0.9135E-06 0.7177E-06 0.6648     0.3319     0.5530E+05
 4900.00      0.000     0.1781E-06  0.000      0.000     0.4466E-07 0.3252E-02        0.000     0.9136E-06 0.7195E-06 0.6648     0.3319     0.5702E+05
 4950.00      0.000     0.1745E-06  0.000      0.000     0.4371E-07 0.3183E-02        0.000     0.9137E-06 0.7213E-06 0.6649     0.3320     0.5878E+05
 5000.00      0.000     0.1710E-06  0.000      0.000     0.4279E-07 0.3116E-02        0.000     0.9138E-06 0.7230E-06 0.6649     0.3320     0.6058E+05
 5050.00      0.000     0.1676E-06  0.000      0.000     0.4189E-07 0.3051E-02        0.000     0.9139E-06 0.7247E-06 0.6649     0.3320     0.6242E+05
 5100.00      0.000     0.1644E-06  0.000      0.000     0.4102E-07 0.2988E-02        0.000     0.9139E-06 0.7263E-06 0.6650     0.3320     0.6429E+05
 5150.00      0.000     0.1612E-06  0.000      0.000     0.4018E-07 0.2927E-02        0.000     0.9140E-06 0.7279E-06 0.6650     0.3321     0.6619E+05
 5200.00      0.000     0.1581E-06  0.000      0.000     0.3937E-07 0.2868E-02        0.000     0.9141E-06 0.7295E-06 0.6651     0.3321     0.6814E+05
 5250.00      0.000     0.1551E-06  0.000      0.000     0.3858E-07 0.2810E-02        0.000     0.9142E-06 0.7311E-06 0.6651     0.3321     0.7012E+05
 5300.00      0.000     0.1522E-06  0.000      0.000     0.3781E-07 0.2755E-02        0.000     0.9142E-06 0.7326E-06 0.6651     0.3321     0.7214E+05
 5350.00      0.000     0.1494E-06  0.000      0.000     0.3706E-07 0.2700E-02        0.000     0.9143E-06 0.7340E-06 0.6652     0.3321     0.7420E+05
 5400.00      0.000     0.1466E-06  0.000      0.000     0.3634E-07 0.2648E-02        0.000     0.9144E-06 0.7355E-06 0.6652     0.3322     0.7630E+05
 5450.00      0.000     0.1440E-06  0.000      0.000     0.3563E-07 0.2597E-02        0.000     0.9144E-06 0.7369E-06 0.6652     0.3322     0.7844E+05
 5500.00      0.000     0.1414E-06  0.000      0.000     0.3495E-07 0.2547E-02        0.000     0.9145E-06 0.7383E-06 0.6653     0.3322     0.8061E+05
 5550.00      0.000     0.1388E-06  0.000      0.000     0.3429E-07 0.2499E-02        0.000     0.9145E-06 0.7396E-06 0.6653     0.3322     0.8283E+05
 5600.00      0.000     0.1364E-06  0.000      0.000     0.3364E-07 0.2452E-02        0.000     0.9146E-06 0.7410E-06 0.6653     0.3322     0.8509E+05
 5650.00      0.000     0.1340E-06  0.000      0.000     0.3301E-07 0.2406E-02        0.000     0.9146E-06 0.7423E-06 0.6653     0.3322     0.8738E+05
 5700.00      0.000     0.1316E-06  0.000      0.000     0.3240E-07 0.2361E-02        0.000     0.9146E-06 0.7435E-06 0.6654     0.3323     0.8972E+05
 5750.00      0.000     0.1294E-06  0.000      0.000     0.3181E-07 0.2318E-02        0.000     0.9147E-06 0.7448E-06 0.6654     0.3323     0.9210E+05
 5800.00      0.000     0.1271E-06  0.000      0.000     0.3123E-07 0.2276E-02        0.000     0.9147E-06 0.7460E-06 0.6654     0.3323     0.9452E+05
 5850.00      0.000     0.1250E-06  0.000      0.000     0.3066E-07 0.2235E-02        0.000     0.9148E-06 0.7472E-06 0.6655     0.3323     0.9699E+05
 5900.00      0.000     0.1229E-06  0.000      0.000     0.3011E-07 0.2195E-02        0.000     0.9148E-06 0.7484E-06 0.6655     0.3323     0.9950E+05
 5950.00      0.000     0.1208E-06  0.000      0.000     0.2958E-07 0.2156E-02        0.000     0.9148E-06 0.7495E-06 0.6655     0.3323     0.1020E+06
 6000.00      0.000     0.1188E-06  0.000      0.000     0.2906E-07 0.2118E-02        0.000     0.9149E-06 0.7507E-06 0.6655     0.3324     0.1046E+06
 6050.00      0.000     0.1169E-06  0.000      0.000     0.2855E-07 0.2082E-02        0.000     0.9149E-06 0.7518E-06 0.6656     0.3324     0.1073E+06
 6100.00      0.000     0.1150E-06  0.000      0.000     0.2806E-07 0.2046E-02        0.000     0.9149E-06 0.7528E-06 0.6656     0.3324     0.1100E+06
 6150.00      0.000     0.1131E-06  0.000      0.000     0.2758E-07 0.2011E-02        0.000     0.9149E-06 0.7539E-06 0.6656     0.3324     0.1127E+06
 6200.00      0.000     0.1113E-06  0.000      0.000     0.2711E-07 0.1976E-02        0.000     0.9150E-06 0.7550E-06 0.6656     0.3324     0.1154E+06
 6250.00      0.000     0.1095E-06  0.000      0.000     0.2665E-07 0.1943E-02        0.000     0.9150E-06 0.7560E-06 0.6656     0.3324     0.1183E+06
 6300.00      0.000     0.1078E-06  0.000      0.000     0.2620E-07 0.1911E-02        0.000     0.9150E-06 0.7570E-06 0.6657     0.3324     0.1211E+06
 6350.00      0.000     0.1061E-06  0.000      0.000     0.2577E-07 0.1879E-02        0.000     0.9150E-06 0.7580E-06 0.6657     0.3324     0.1240E+06
 6400.00      0.000     0.1044E-06  0.000      0.000     0.2534E-07 0.1848E-02        0.000     0.9151E-06 0.7590E-06 0.6657     0.3325     0.1270E+06
 6450.00      0.000     0.1028E-06  0.000      0.000     0.2493E-07 0.1818E-02        0.000     0.9151E-06 0.7599E-06 0.6657     0.3325     0.1300E+06
 6500.00      0.000     0.1013E-06  0.000      0.000     0.2452E-07 0.1788E-02        0.000     0.9151E-06 0.7608E-06 0.6657     0.3325     0.1330E+06
 6550.00      0.000     0.9971E-07  0.000      0.000     0.2413E-07 0.1759E-02        0.000     0.9151E-06 0.7618E-06 0.6658     0.3325     0.1361E+06
 6600.00      0.000     0.9821E-07  0.000      0.000     0.2374E-07 0.1731E-02        0.000     0.9151E-06 0.7627E-06 0.6658     0.3325     0.1392E+06
 6650.00      0.000     0.9674E-07  0.000      0.000     0.2337E-07 0.1704E-02        0.000     0.9151E-06 0.7635E-06 0.6658     0.3325     0.1424E+06
 6700.00      0.000     0.9530E-07  0.000      0.000     0.2300E-07 0.1677E-02        0.000     0.9151E-06 0.7644E-06 0.6658     0.3325     0.1457E+06
 6750.00      0.000     0.9390E-07  0.000      0.000     0.2264E-07 0.1651E-02        0.000     0.9152E-06 0.7653E-06 0.6658     0.3325     0.1490E+06
 6800.00      0.000     0.9252E-07  0.000      0.000     0.2229E-07 0.1625E-02        0.000     0.9152E-06 0.7661E-06 0.6658     0.3325     0.1523E+06
 6850.00      0.000     0.9118E-07  0.000      0.000     0.2194E-07 0.1600E-02        0.000     0.9152E-06 0.7669E-06 0.6659     0.3325     0.1557E+06
 6900.00      0.000     0.8986E-07  0.000      0.000     0.2161E-07 0.1576E-02        0.000     0.9152E-06 0.7677E-06 0.6659     0.3325     0.1591E+06
 6950.00      0.000     0.8858E-07  0.000      0.000     0.2128E-07 0.1552E-02        0.000     0.9152E-06 0.7685E-06 0.6659     0.3326     0.1626E+06
 7000.00      0.000     0.8732E-07  0.000      0.000     0.2096E-07 0.1529E-02        0.000     0.9152E-06 0.7693E-06 0.6659     0.3326     0.1661E+06
 7050.00      0.000     0.8608E-07  0.000      0.000     0.2064E-07 0.1506E-02        0.000     0.9152E-06 0.7701E-06 0.6659     0.3326     0.1697E+06
 7100.00      0.000     0.8487E-07  0.000      0.000     0.2034E-07 0.1483E-02        0.000     0.9152E-06 0.7708E-06 0.6659     0.3326     0.1733E+06
 7150.00      0.000     0.8369E-07  0.000      0.000     0.2004E-07 0.1462E-02        0.000     0.9152E-06 0.7716E-06 0.6659     0.3326     0.1770E+06
 7200.00      0.000     0.8253E-07  0.000      0.000     0.1974E-07 0.1440E-02        0.000     0.9152E-06 0.7723E-06 0.6660     0.3326     0.1808E+06
 7250.00      0.000     0.8140E-07  0.000      0.000     0.1946E-07 0.1419E-02        0.000     0.9152E-06 0.7730E-06 0.6660     0.3326     0.1845E+06
 7300.00      0.000     0.8029E-07  0.000      0.000     0.1917E-07 0.1399E-02        0.000     0.9153E-06 0.7737E-06 0.6660     0.3326     0.1884E+06
 7350.00      0.000     0.7920E-07  0.000      0.000     0.1890E-07 0.1379E-02        0.000     0.9153E-06 0.7744E-06 0.6660     0.3326     0.1923E+06
 7400.00      0.000     0.7814E-07  0.000      0.000     0.1863E-07 0.1359E-02        0.000     0.9153E-06 0.7751E-06 0.6660     0.3326     0.1962E+06
 7450.00      0.000     0.7709E-07  0.000      0.000     0.1837E-07 0.1340E-02        0.000     0.9153E-06 0.7758E-06 0.6660     0.3326     0.2002E+06
 7500.00      0.000     0.7607E-07  0.000      0.000     0.1811E-07 0.1321E-02        0.000     0.9153E-06 0.7765E-06 0.6660     0.3326     0.2043E+06
 7550.00      0.000     0.7506E-07  0.000      0.000     0.1785E-07 0.1302E-02        0.000     0.9153E-06 0.7771E-06 0.6660     0.3326     0.2084E+06
 7600.00      0.000     0.7408E-07  0.000      0.000     0.1761E-07 0.1284E-02        0.000     0.9153E-06 0.7777E-06 0.6661     0.3327     0.2126E+06
 7650.00      0.000     0.7312E-07  0.000      0.000     0.1736E-07 0.1267E-02        0.000     0.9153E-06 0.7784E-06 0.6661     0.3327     0.2168E+06
 7700.00      0.000     0.7217E-07  0.000      0.000     0.1713E-07 0.1249E-02        0.000     0.9153E-06 0.7790E-06 0.6661     0.3327     0.2211E+06
 7750.00      0.000     0.7124E-07  0.000      0.000     0.1689E-07 0.1232E-02        0.000     0.9153E-06 0.7796E-06 0.6661     0.3327     0.2254E+06
 7800.00      0.000     0.7033E-07  0.000      0.000     0.1666E-07 0.1216E-02        0.000     0.9153E-06 0.7802E-06 0.6661     0.3327     0.2298E+06
 7850.00      0.000     0.6944E-07  0.000      0.000     0.1644E-07 0.1199E-02        0.000     0.9153E-06 0.7808E-06 0.6661     0.3327     0.2342E+06
 7900.00      0.000     0.6856E-07  0.000      0.000     0.1622E-07 0.1183E-02        0.000     0.9153E-06 0.7814E-06 0.6661     0.3327     0.2387E+06
 7950.00      0.000     0.6770E-07  0.000      0.000     0.1600E-07 0.1168E-02        0.000     0.9153E-06 0.7820E-06 0.6661     0.3327     0.2433E+06
 8000.00      0.000     0.6686E-07  0.000      0.000     0.1579E-07 0.1152E-02        0.000     0.9153E-06 0.7825E-06 0.6661     0.3327     0.2479E+06
 8050.00      0.000     0.6603E-07  0.000      0.000     0.1559E-07 0.1137E-02        0.000     0.9153E-06 0.7831E-06 0.6662     0.3327     0.2526E+06
 8100.00      0.000     0.6522E-07  0.000      0.000     0.1538E-07 0.1122E-02        0.000     0.9153E-06 0.7836E-06 0.6662     0.3327     0.2573E+06
 8150.00      0.000     0.6442E-07  0.000      0.000     0.1518E-07 0.1108E-02        0.000     0.9153E-06 0.7842E-06 0.6662     0.3327     0.2621E+06
 8200.00      0.000     0.6364E-07  0.000      0.000     0.1499E-07 0.1094E-02        0.000     0.9153E-06 0.7847E-06 0.6662     0.3327     0.2670E+06
 8250.00      0.000     0.6287E-07  0.000      0.000     0.1480E-07 0.1080E-02        0.000     0.9153E-06 0.7852E-06 0.6662     0.3327     0.2719E+06
 8300.00      0.000     0.6212E-07  0.000      0.000     0.1461E-07 0.1066E-02        0.000     0.9153E-06 0.7857E-06 0.6662     0.3327     0.2769E+06
 8350.00      0.000     0.6138E-07  0.000      0.000     0.1442E-07 0.1052E-02        0.000     0.9153E-06 0.7863E-06 0.6662     0.3327     0.2819E+06
 8400.00      0.000     0.6065E-07  0.000      0.000     0.1424E-07 0.1039E-02        0.000     0.9153E-06 0.7868E-06 0.6662     0.3327     0.2870E+06
 8450.00      0.000     0.5993E-07  0.000      0.000     0.1406E-07 0.1026E-02        0.000     0.9153E-06 0.7872E-06 0.6662     0.3328     0.2921E+06
 8500.00      0.000     0.5923E-07  0.000      0.000     0.1389E-07 0.1014E-02        0.000     0.9153E-06 0.7877E-06 0.6662     0.3328     0.2974E+06
 8550.00      0.000     0.5854E-07  0.000      0.000     0.1372E-07 0.1001E-02        0.000     0.9153E-06 0.7882E-06 0.6662     0.3328     0.3026E+06
 8600.00      0.000     0.5786E-07  0.000      0.000     0.1355E-07 0.9888E-03        0.000     0.9153E-06 0.7887E-06 0.6662     0.3328     0.3080E+06
 8650.00      0.000     0.5719E-07  0.000      0.000     0.1339E-07 0.9767E-03        0.000     0.9153E-06 0.7892E-06 0.6663     0.3328     0.3134E+06
 8700.00      0.000     0.5654E-07  0.000      0.000     0.1322E-07 0.9649E-03        0.000     0.9153E-06 0.7896E-06 0.6663     0.3328     0.3188E+06
 8750.00      0.000     0.5590E-07  0.000      0.000     0.1306E-07 0.9533E-03        0.000     0.9153E-06 0.7901E-06 0.6663     0.3328     0.3244E+06
 8800.00      0.000     0.5526E-07  0.000      0.000     0.1291E-07 0.9418E-03        0.000     0.9153E-06 0.7905E-06 0.6663     0.3328     0.3300E+06
 8850.00      0.000     0.5464E-07  0.000      0.000     0.1275E-07 0.9306E-03        0.000     0.9153E-06 0.7910E-06 0.6663     0.3328     0.3356E+06
 8900.00      0.000     0.5403E-07  0.000      0.000     0.1260E-07 0.9196E-03        0.000     0.9153E-06 0.7914E-06 0.6663     0.3328     0.3413E+06
 8950.00      0.000     0.5343E-07  0.000      0.000     0.1245E-07 0.9088E-03        0.000     0.9153E-06 0.7918E-06 0.6663     0.3328     0.3471E+06
 9000.00      0.000     0.5283E-07  0.000      0.000     0.1231E-07 0.8981E-03        0.000     0.9153E-06 0.7922E-06 0.6663     0.3328     0.3530E+06
 9050.00      0.000     0.5225E-07  0.000      0.000     0.1216E-07 0.8876E-03        0.000     0.9153E-06 0.7927E-06 0.6663     0.3328     0.3589E+06
 9100.00      0.000     0.5168E-07  0.000      0.000     0.1202E-07 0.8774E-03        0.000     0.9153E-06 0.7931E-06 0.6663     0.3328     0.3649E+06
 9150.00      0.000     0.5112E-07  0.000      0.000     0.1188E-07 0.8672E-03        0.000     0.9153E-06 0.7935E-06 0.6663     0.3328     0.3709E+06
 9200.00      0.000     0.5056E-07  0.000      0.000     0.1175E-07 0.8573E-03        0.000     0.9152E-06 0.7939E-06 0.6663     0.3328     0.3770E+06
 9250.00      0.000     0.5002E-07  0.000      0.000     0.1161E-07 0.8475E-03        0.000     0.9152E-06 0.7943E-06 0.6663     0.3328     0.3832E+06
 9300.00      0.000     0.4948E-07  0.000      0.000     0.1148E-07 0.8379E-03        0.000     0.9152E-06 0.7947E-06 0.6663     0.3328     0.3894E+06
 9350.00      0.000     0.4895E-07  0.000      0.000     0.1135E-07 0.8285E-03        0.000     0.9152E-06 0.7950E-06 0.6663     0.3328     0.3957E+06
 9400.00      0.000     0.4844E-07  0.000      0.000     0.1122E-07 0.8192E-03        0.000     0.9152E-06 0.7954E-06 0.6664     0.3328     0.4021E+06
 9450.00      0.000     0.4792E-07  0.000      0.000     0.1110E-07 0.8100E-03        0.000     0.9152E-06 0.7958E-06 0.6664     0.3328     0.4086E+06
 9500.00      0.000     0.4742E-07  0.000      0.000     0.1098E-07 0.8010E-03        0.000     0.9152E-06 0.7962E-06 0.6664     0.3328     0.4151E+06
